Date,Open,High,Low,Close,Volume,Turnover
2025-09-22,10.000,10.180,9.770,9.880,10948680,108657138.000
2025-09-23,9.880,10.130,9.810,10.030,22952201,229335880.000
2025-09-24,10.040,10.160,9.700,9.740,10924946,107226207.000
2025-09-25,9.740,9.740,9.350,9.420,20073983,190780515.000
2025-09-28,9.420,9.680,9.300,9.430,14383632,136448575.000
2025-09-29,9.500,9.570,9.010,9.130,24086750,219800193.000
2025-10-01,9.150,9.240,8.620,8.990,42707760,380057521.000
2025-10-02,9.030,9.260,8.630,8.700,24947210,221271356.000
2025-10-05,8.740,9.150,8.610,9.110,26534148,237234894.000
2025-10-07,9.090,9.090,8.700,8.940,8933675,78845452.000
2025-10-08,8.950,9.160,8.760,9.040,14632804,131069361.000
2025-10-09,8.900,8.980,8.650,8.720,10956326,96074551.000
2025-10-12,8.650,12.060,8.310,11.730,189898846,2062863188.000
2025-10-13,12.060,12.080,9.800,9.940,112413743,1202689743.000
2025-10-14,10.310,10.920,10.150,10.670,45427020,480168799.000
2025-10-15,10.910,11.120,10.400,10.750,29630072,318195906.000
2025-10-16,10.520,10.840,10.190,10.370,23394007,242877790.000
2025-10-19,10.160,10.200,9.470,9.800,38131200,372876660.000
2025-10-20,9.800,10.400,9.800,10.020,20295113,206884162.000
2025-10-21,10.020,10.020,9.800,9.840,6694766,66191790.000
2025-10-22,9.840,9.980,9.300,9.490,18667000,176496930.000
2025-10-23,9.600,9.680,9.230,9.470,14005003,131311230.000
2025-10-26,9.690,10.200,9.520,9.870,23317900,229700573.000
2025-10-27,9.950,9.990,9.440,9.500,16560010,158286575.000
2025-10-29,9.630,10.050,9.360,9.900,20458927,198423763.000
2025-10-30,9.890,9.980,9.560,9.730,16693150,163127237.000
2025-11-02,9.630,9.670,9.280,9.350,13173080,123683436.000
2025-11-03,9.400,9.410,8.720,8.760,21421784,190991652.000
2025-11-04,8.700,8.700,8.170,8.380,24026554,201296610.000
2025-11-05,8.410,8.480,8.220,8.430,10845833,90720205.000
2025-11-06,8.350,8.700,8.200,8.630,13711659,116355497.000
2025-11-09,8.580,9.060,8.580,8.890,10172000,90664914.000
2025-11-10,8.880,8.950,8.680,8.710,7187425,63097569.000
2025-11-11,8.360,8.580,8.200,8.250,21349338,177526449.000
2025-11-12,8.200,8.460,8.090,8.400,8760200,72770990.000
2025-11-13,8.180,8.350,8.120,8.310,6766000,55962280.000
2025-11-16,8.310,8.310,7.580,7.760,29786000,233608342.000
2025-11-17,7.760,7.760,7.200,7.280,22012393,162269159.000
2025-11-18,7.280,7.390,7.070,7.210,11088080,79369551.000
2025-11-19,7.290,7.380,7.050,7.070,8148907,58022192.000
2025-11-20,6.940,7.060,6.800,6.900,13655140,94247205.000
2025-11-23,6.910,7.430,6.910,7.430,11989883,86405208.000
2025-11-24,7.440,7.640,7.280,7.500,10105705,75952808.000
2025-11-25,8.400,8.400,7.790,7.930,28510071,229517585.000
2025-11-26,7.930,8.020,7.730,7.760,5284455,41125649.000
2025-11-27,7.800,7.990,7.640,7.930,5494076,43364398.000
2025-11-30,7.930,7.930,7.210,7.460,16570175,122714165.000
2025-12-01,7.450,7.500,7.160,7.480,7736090,57109689.000
2025-12-02,7.470,7.480,7.350,7.460,4691500,34852602.000
2025-12-03,7.460,7.710,7.390,7.650,6122010,46579085.000
2025-12-04,7.580,8.140,7.570,8.030,11698461,92969857.000
2025-12-07,8.120,8.150,7.840,7.850,5865253,46651212.000
2025-12-08,7.850,7.920,7.660,7.800,4941656,38287407.000
2025-12-09,7.800,7.880,7.420,7.530,10807739,81168491.000
2025-12-10,7.520,7.580,7.360,7.380,6199832,46165273.000
2025-12-11,7.400,7.500,7.370,7.400,5066000,37654480.000
2025-12-14,7.400,7.690,7.350,7.490,6309872,47661235.000
2025-12-15,7.490,7.690,7.360,7.690,6310454,47576428.000
2025-12-16,7.550,7.750,7.500,7.660,3259182,24791756.000
2025-12-17,7.640,7.640,7.370,7.410,5946041,44175761.000
2025-12-18,7.430,8.280,7.430,8.060,21439982,170332932.000
2025-12-21,8.080,8.360,7.930,8.260,12810054,105376164.000
2025-12-22,8.250,8.280,8.060,8.230,5274000,43183280.000
2025-12-23,8.200,8.270,8.160,8.210,1754827,14387816.000
2025-12-28,8.220,8.500,8.200,8.270,9430231,78867189.000
2025-12-29,8.270,8.300,7.960,8.060,7941057,64047076.000
2025-12-30,8.050,8.120,7.970,8.070,2323000,18693756.000
2026-01-01,8.070,8.680,7.950,8.480,15678700,132596581.000
2026-01-04,8.500,8.640,8.320,8.500,6991190,59551983.000
2026-01-05,8.550,8.870,8.500,8.690,17324643,150810182.000
2026-01-06,8.690,8.800,8.470,8.700,6688113,58115708.000
2026-01-07,8.700,8.820,8.540,8.710,7856630,68351682.000
2026-01-08,8.740,8.750,8.470,8.630,6024400,51664961.000
2026-01-11,8.640,9.080,8.500,8.900,19023500,168625743.000
2026-01-12,9.010,9.100,8.720,8.790,8172000,72584653.000
2026-01-13,8.700,9.780,8.700,9.740,30533044,282839662.000
2026-01-14,9.500,9.520,9.020,9.180,22270741,205160943.000
2026-01-15,9.160,9.500,9.050,9.060,11148000,102725694.000
2026-01-18,9.070,9.170,8.580,8.850,7687658,67721362.000
2026-01-19,8.850,9.040,8.690,8.930,6232000,55367490.000
2026-01-20,8.820,9.270,8.800,9.170,8555500,77901263.000
2026-01-21,9.280,9.300,9.000,9.090,4736012,43031889.000
2026-01-22,9.080,9.360,9.080,9.250,7858987,72432034.000
2026-01-25,9.210,9.330,8.770,8.910,11018735,98481889.000
2026-01-26,8.960,9.130,8.800,9.070,6302699,56580199.000
2026-01-27,9.080,9.480,9.070,9.300,15554800,145028038.000
2026-01-28,9.330,9.420,9.110,9.150,9931800,91556016.000
2026-01-29,9.130,9.130,8.810,8.850,12517141,111064084.000
2026-02-01,8.800,8.800,8.240,8.370,13761500,116737625.000
2026-02-02,8.480,8.860,8.420,8.640,8882286,76460498.000
2026-02-03,8.640,8.750,8.450,8.560,4754297,40589242.000
2026-02-04,8.530,8.560,8.330,8.480,3871000,32690420.000
2026-02-05,8.360,8.430,8.060,8.350,7674227,63728825.000
2026-02-08,8.560,9.500,8.560,9.140,25413732,232049274.000
2026-02-09,9.200,9.300,9.000,9.050,10337200,94625151.000
